scheme_id,scheme_name,category,issuer,interest_rate,lock_in_years,min_investment,max_investment,eligible_age_min,eligible_age_max,risk_level,liquidity,description
INVST001,Public Provident Fund (PPF),Savings Scheme,Govt. of India,7.1,15,500,150000,0,Any,Zero Risk,Low,A long-term savings plan with EEE tax status. Investment is eligible for Section 80C deduction. The interest rate is reviewed quarterly by the government.
INVST002,National Savings Certificate (NSC),Post Office Scheme,Post Office,7.7,5,1000,Any,0,Any,Zero Risk,Low,A fixed-income investment with a guaranteed return. Investment qualifies for Section 80C deduction. Interest is taxable but reinvested.
INVST003,Sukanya Samriddhi Yojana (SSY),Savings Scheme,Post Office,8.2,21,250,150000,0,10,Zero Risk,Low,"A scheme for the girl child, opened by a guardian. Offers EEE tax status and Section 80C benefits. Designed for education and marriage expenses."
INVST004,National Pension Scheme (NPS),Pension Scheme,Govt. of India,9-12,60,1000,Any,18,70,Moderate,Low,"A market-linked pension scheme. Offers tax benefits under Section 80C & 80CCD. Returns depend on chosen asset allocation (equity, debt, etc.)."
INVST005,Sovereign Gold Bonds (SGB),Govt Bond,RBI,2.5,8,1,4000,0,Any,Low Risk,Medium,Bonds denominated in grams of gold. Offers a fixed 2.5% annual interest plus returns based on gold price appreciation. Capital gains are tax-free if held till maturity.
INVST006,Senior Citizen Savings Scheme (SCSS),Pension Scheme,Post Office,8.2,5,1000,3000000,60,Any,Zero Risk,Medium,A savings scheme for senior citizens. Investment qualifies for Section 80C. Interest is taxable and paid out quarterly.
INVST007,Atal Pension Yojana (APY),Pension Scheme,Govt. of India,8,60,42,1454,18,40,Zero Risk,Low,Provides a guaranteed monthly pension of Rs. 1000 to Rs. 5000 after age 60. Aimed at the unorganized sector. Contributions are eligible for Section 80C.
INVST008,Pradhan Mantri Jan Dhan Yojana (PMJDY),Savings Scheme,Banks,4,0,0,Any,10,Any,Zero Risk,High,"A basic savings bank account for financial inclusion. Comes with a RuPay debit card, insurance cover, and an overdraft facility."
INVST009,Kisan Vikas Patra (KVP),Post Office Scheme,Post Office,7.5,9.6,1000,Any,18,Any,Zero Risk,Medium,A savings certificate where the investment doubles in a predetermined period (currently 115 months). Interest is fully taxable upon maturity.
INVST010,Post Office Time Deposit (POTD),Post Office Scheme,Post Office,7.5,5,1000,Any,10,Any,Zero Risk,Medium,Similar to a bank fixed deposit. The 5-year deposit qualifies for Section 80C tax benefits. Interest is paid annually and is taxable.
INVST011,Post Office Monthly Income Scheme (POMIS),Post Office Scheme,Post Office,7.4,5,1000,900000,10,Any,Zero Risk,Medium,A 5-year investment that provides a fixed monthly income via interest. Interest is taxable. The maximum investment for a joint account is Rs 9 lakh.
INVST012,GOI 5.74% Nov 2026,G-Sec,Govt. of India,5.74,1,10000,Any,18,Any,Zero Risk,High,"Coupon: 5.74%, YTM: 5.60%. Current price: ₹101.64. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
INVST013,GOI 7.46% Nov 2073,G-Sec,Govt. of India,7.46,48,10000,Any,18,Any,Zero Risk,High,"Coupon: 7.46%, YTM: 7.10%. Current price: ₹106.99. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
INVST014,GOI 7.09% Nov 2074,G-Sec,Govt. of India,7.09,49,10000,Any,18,Any,Zero Risk,High,"Coupon: 7.09%, YTM: 7.10%. Current price: ₹101.48. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
INVST015,GOI 7.34% Apr 2064,G-Sec,Govt. of India,7.34,38,10000,Any,18,Any,Zero Risk,High,"Coupon: 7.34%, YTM: 7.08%. Current price: ₹105.78. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
INVST016,GOI 7.09% Aug 2054,G-Sec,Govt. of India,7.09,29,10000,Any,18,Any,Zero Risk,High,"Coupon: 7.09%, YTM: 7.06%. Current price: ₹100.62. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
INVST017,GOI 6.95% Dec 2061,G-Sec,Govt. of India,6.95,36,10000,Any,18,Any,Zero Risk,High,"Coupon: 6.95%, YTM: 7.05%. Current price: ₹99.88. Interest is paid semi-annually and is taxable. Tradable on the secondary market."
