age,annual_income,is_salaried,investment_80c,investment_80d,home_loan_interest,education_loan_interest,donations_80g,other_deductions,standard_deduction,taxable_old,tax_old,taxable_new,tax_new,best_regime
56,273508,1,25003,4334,11793,535,0,1789,50000,180054,0.0,261715,0.0,old
53,167449,0,0,1417,5688,360,346,1468,0,158170,0.0,161761,0.0,old
39,186984,1,11405,2784,11793,457,716,1836,50000,107993,0.0,175191,0.0,old
59,927824,1,77201,6978,42865,1344,0,2252,50000,747184,64414.27,884959,40035.74,new
33,607967,1,28815,0,19466,105,2052,0,50000,507529,14566.03,588501,0.0,new
27,152373,1,7767,1610,6534,77,584,317,50000,85484,0.0,145839,0.0,old
29,202973,1,16895,2145,6236,697,498,0,50000,126502,0.0,196737,0.0,old
38,211657,1,8966,2607,17166,599,870,884,50000,130565,0.0,194491,0.0,old
25,4490739,1,150000,50000,313025,0,590,7855,50000,4032294,1063075.73,4290739,1016310.57,new
31,2999620,1,139815,20071,237292,8852,1153,21505,50000,2558224,603165.89,2799620,551081.44,new
44,4758995,1,150000,8757,532790,17277,4190,45659,50000,4283112,1141330.94,4558995,1100006.44,new
42,3786989,0,150000,36702,330200,5054,13871,34925,0,3346437,849088.34,3586989,796740.57,new
69,678016,1,34019,9138,51578,2263,1164,2331,50000,527523,18724.78,626438,0.0,new
37,4795764,1,100077,47394,409026,11929,6010,27749,50000,4352605,1163012.76,4595764,1111478.37,new
34,612583,0,60520,1022,63795,2080,645,1009,0,483512,0.0,548788,0.0,old
41,171269,1,10462,2159,10935,311,523,738,50000,96141,0.0,160334,0.0,old
18,443606,1,29275,7544,29715,1095,0,1821,50000,324156,0.0,413891,0.0,old
21,341382,1,27900,2752,32454,598,405,2615,50000,224658,0.0,308928,0.0,old
57,3727329,1,150000,45715,120995,11822,3849,4751,50000,3340197,847141.46,3606334,802776.21,new
33,1499204,1,36622,16740,60758,3689,1507,395,50000,1329493,219801.82,1438446,132796.77,new
61,795584,1,29992,17040,24014,1900,1611,0,50000,671027,48573.62,771570,28243.28,new
31,107690,1,7741,1880,6203,317,343,569,50000,40637,0.0,101487,0.0,old
31,947752,1,59688,8575,41831,3287,0,3627,50000,780744,71394.75,905921,42215.78,new
52,201858,1,20702,836,7888,6,443,883,50000,121100,0.0,193970,0.0,old
61,2764468,1,120023,4859,273063,5516,1740,5077,50000,2377253,546702.94,2564468,477714.02,new
42,78902,1,5232,774,2505,74,83,187,50000,20047,0.0,76397,0.0,old
33,114663,1,7417,2040,2390,198,428,0,50000,52190,0.0,112273,0.0,old
23,899258,1,6552,6093,24394,1893,4150,5759,50000,800417,75486.74,874864,38985.86,new
51,792440,1,14031,9311,35540,113,565,1407,50000,681473,50746.38,756900,26717.6,new
32,253005,1,11263,1885,12610,329,1465,1436,50000,174017,0.0,240395,0.0,old
23,190872,1,2840,1946,14996,583,378,820,50000,119309,0.0,175876,0.0,old
59,782374,0,48801,11795,33473,2396,2889,5023,0,677997,50023.38,748901,25885.7,new
26,639408,1,37965,6951,0,1447,1902,3664,50000,537479,20795.63,639408,0.0,new
51,993392,1,65826,18936,37572,2405,1445,8793,50000,808415,77150.32,955820,47405.28,new
25,504677,1,24719,10034,34428,1961,1348,3504,50000,378683,0.0,470249,0.0,old
56,195797,1,10456,1907,13617,222,774,2206,50000,116615,0.0,182180,0.0,old
53,449808,1,39973,4470,20277,1703,1406,964,50000,331015,0.0,429531,0.0,old
52,1987111,1,89738,21252,75443,5432,1025,7118,50000,1737103,346976.14,1911668,274040.42,new
36,452135,1,56073,2175,23166,563,2373,3289,50000,314496,0.0,428969,0.0,old
39,170538,1,7126,950,2841,310,741,409,50000,108161,0.0,167697,0.0,old
47,192627,1,14852,1931,5094,171,361,19,50000,120199,0.0,187533,0.0,old
20,4292772,0,150000,50000,345465,4807,10963,0,0,3877002,1014624.62,4092772,954544.86,new
57,410253,1,32332,3091,36740,656,911,3342,50000,283181,0.0,373513,0.0,old
56,881370,1,85321,10258,88358,3184,2524,3869,50000,637856,41674.05,793012,30473.25,new
44,514090,1,32303,6977,38989,1098,323,576,50000,383824,0.0,475101,0.0,old
48,205239,1,12034,854,8888,429,122,819,50000,132093,0.0,196351,0.0,old
58,118466,1,8761,616,8333,318,90,667,50000,49681,0.0,110133,0.0,old
50,83501,1,7947,1337,6480,104,121,552,50000,16960,0.0,77021,0.0,old
57,101557,1,8455,2219,9072,178,287,245,50000,31101,0.0,92485,0.0,old
63,3636383,0,150000,32877,26218,9099,9163,14863,0,3394163,863978.86,3610165,803971.48,new
19,228719,1,14343,1446,7667,217,0,1427,50000,153619,0.0,221052,0.0,old
19,1614922,1,48528,20637,160000,2577,3273,11110,50000,1318797,216464.66,1454922,136223.78,new
24,4938958,0,150000,50000,183853,8795,5519,23480,0,4517311,1214401.03,4755105,1161192.76,new
37,613265,1,46152,6065,30680,1398,1268,5041,50000,472661,0.0,582585,0.0,old
39,317766,1,16516,1497,8327,236,1603,1736,50000,237851,0.0,309439,0.0,old
63,561125,0,22320,6919,32535,836,113,4788,0,493614,0.0,528590,0.0,old
30,196811,1,13602,1116,5571,768,806,1470,50000,123478,0.0,191240,0.0,old
35,863193,0,70610,11822,103659,2943,1201,3851,0,669107,48174.26,759534,26991.54,new
34,2674060,0,84812,18304,175915,4847,10787,18505,0,2360890,541597.68,2498145,457021.24,new
36,4806374,0,146180,21660,486868,9215,6837,27438,0,4395044,1176253.73,4606374,1114788.69,new
66,425438,0,17385,3847,18225,1120,854,3174,0,380833,0.0,407213,0.0,old
55,821088,0,13032,5446,53750,2347,366,790,0,745357,64034.26,767338,27803.15,new
49,259760,1,23767,2285,14484,720,728,942,50000,166834,0.0,245276,0.0,old
29,536891,0,22123,4209,30137,1388,452,4125,0,474457,0.0,506754,0.0,old
52,2956034,1,150000,46844,136717,1035,6540,10335,50000,2554563,602023.66,2819317,557226.9,new
23,328278,1,19245,3925,19072,686,1156,2288,50000,231906,0.0,309206,0.0,old
59,2547048,1,150000,17969,111491,10163,6365,14827,50000,2186233,487104.7,2435557,437493.78,new
44,202501,0,18376,3883,7288,112,229,824,0,171789,0.0,195213,0.0,old
18,86274,1,6715,1170,4382,144,192,711,50000,22960,0.0,81892,0.0,old
48,981746,1,65029,12912,84631,1838,1535,8016,50000,757785,66619.28,897115,41299.96,new
23,840949,1,67742,1715,30866,2140,1861,2913,50000,683712,51212.1,810083,32248.63,new
45,2134784,1,150000,32023,129865,4734,0,14203,50000,1753959,352235.21,2004919,303134.73,new
18,459212,1,3749,1846,23876,582,78,1353,50000,377728,0.0,435336,0.0,old
22,971890,1,46572,23098,16340,679,1196,5676,50000,828329,81292.43,955550,47377.2,new
29,459716,0,30492,4634,11963,867,882,2784,0,408094,0.0,447753,0.0,old
35,582744,0,84958,5588,4026,2908,1393,3722,0,480149,0.0,578718,0.0,old
26,225845,1,13653,1091,11735,554,726,826,50000,147260,0.0,214110,0.0,old
23,3172294,0,150000,9703,226275,6829,5814,35061,0,2764887,667644.74,2972294,604955.73,new
64,286534,0,8458,230,6273,412,290,1580,0,269291,0.0,280261,0.0,old
38,373427,0,22279,1985,20260,903,551,671,0,326778,0.0,353167,0.0,old
48,657822,0,72513,13873,48099,1152,0,5950,0,516235,16376.88,609723,0.0,new
58,959734,1,49556,11607,36678,1953,3087,4110,50000,802743,75970.54,923056,43997.82,new
43,233972,0,15867,2516,8145,604,839,1585,0,204416,0.0,225827,0.0,old
66,142919,1,6416,397,715,198,211,283,50000,84699,0.0,142204,0.0,old
35,207240,0,13772,1420,0,16,592,0,0,191440,0.0,207240,0.0,old
37,217946,1,13953,1952,16241,1028,0,0,50000,134772,0.0,201705,0.0,old
28,3113193,1,150000,28817,142246,1280,1153,21068,50000,2718629,653212.25,2970947,604535.46,new
47,949838,1,48554,16446,98088,2490,2301,4686,50000,727273,60272.78,851750,36582.0,new
68,1368699,1,64179,13722,39464,3987,4984,10363,50000,1182000,173784.0,1329235,110080.88,new
57,3202947,1,150000,25122,125357,1414,1039,23691,50000,2826324,686813.09,3077590,637808.08,new
64,238076,0,14037,3575,0,632,534,1605,0,217693,0.0,238076,0.0,old
44,2001016,0,150000,30728,0,0,3491,14483,0,1802314,367321.97,2001016,301916.99,new
45,868414,0,32078,9666,55037,1248,694,1491,0,768200,68785.6,813377,32591.21,new
29,473803,1,10951,7166,12874,741,1879,2731,50000,387461,0.0,460929,0.0,old
51,701623,1,65850,5498,52853,1951,1008,2037,50000,522426,17664.61,648770,0.0,new
46,206592,0,11786,1467,8070,310,439,641,0,183879,0.0,198522,0.0,old
25,876355,1,43381,3202,18616,2077,2151,6419,50000,750509,65105.87,857739,37204.86,new
22,86266,1,329,581,1765,198,18,642,50000,32733,0.0,84501,0.0,old
20,1464075,0,91456,14940,0,1917,370,9383,0,1346009,224954.81,1464075,138127.6,new
47,2716629,1,150000,18172,29193,282,7548,18192,50000,2443242,567291.5,2687436,516080.03,new
53,232608,1,842,3125,18555,521,736,1006,50000,157823,0.0,214053,0.0,old
60,533419,1,7018,2543,29451,868,0,2719,50000,440820,0.0,503968,0.0,old
52,2091453,0,122946,15729,64325,2141,4393,7429,0,1874490,389840.88,2027128,310063.94,new
24,577936,0,46389,5181,52723,983,966,2013,0,469681,0.0,525213,0.0,old
67,274069,0,12444,5535,23654,213,608,675,0,230940,0.0,250415,0.0,old
58,273927,1,28729,2950,23855,275,542,1611,50000,165965,0.0,250072,0.0,old
29,144532,1,11039,186,2439,223,3,755,50000,79887,0.0,142093,0.0,old
68,105348,1,5026,637,6199,254,578,54,50000,42600,0.0,99149,0.0,old
56,196841,1,6883,2775,7210,512,347,1417,50000,127697,0.0,189631,0.0,old
52,2191070,1,104452,35077,82277,6075,1172,3366,50000,1908651,400499.11,2108793,335543.42,new
54,735253,0,56993,10776,27418,1466,1134,2812,0,634654,41008.03,707835,21614.84,new
56,806087,0,65398,11479,57950,1356,2355,6759,0,660790,46444.32,748137,25806.25,new
55,100374,1,7591,1365,6202,126,299,864,50000,33927,0.0,94172,0.0,old
57,451673,1,22586,5397,14738,924,245,4860,50000,352923,0.0,436935,0.0,old
