scheme_id,scheme_name,scope,state,age_min,age_max,annual_income_min,annual_income_max,allowed_genders,allowed_castes,allowed_employments,disability_allowed,education_levels,notes,
C001,AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Short Term Training Programme-SFURTI Program aims to provide financial assistance from AICTE to the institutions for conducting faculty and student trainings to enable faculty members and students in the field of technical education.,
C002,Consortia & Tender Marketing Scheme,central,Any,Any,Any,Any,Any,-,Any,Any,Any,Any,Micro & Small Enterprise in their Individual Capacity faces problems to procure and execute large order/ which inhibit and restrict their growth. NSIC accordingly/ adopts Consortia approach and forms consortia of units manufacturing the same products/ thereby easing out marketing problems of MSEs.,
C003,Handloom Marketing Assistance Component of the National Handloom Development Programme,central,Any,Any,Any,Any,Any,-,Any,Any,Any,Any,The scheme aims to develop and promote marketing channels for handloom products to bring greater visibility to the sector and ensure commensurate remuneration to weavers. It provides Marketing Incentive to eligible handloom agencies for creating conducive conditions for marketing handloom products.,
C004,AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,central,Any,Any,Any,Any,Any,Any,Any,Retired,Any,Any,A scheme to provide financial assistance to a non-pensioner Ex-Servicemen of all ranks and widows to meet medical expenses related to treatment of approved serious diseases like cancer/ renal failure/ knee replacement and heart surgery.,
C005,AICTE - Distinguished Chair Professor Fellowship,central,Any,Any,75,Any,Any,Any,Any,Retired,Any,Postgraduate,A Fellowship Scheme by AICTE/ MoE. The Distinguished Chair Professor Fellowship intends to utilize the expertise of highly qualified and experienced superannuated professionals who have made an unparalleled/ exceptional professional contribution to society in their respective fields/disciplines.,
C006,AICTE - Grant For Augmenting Infrastructure In North Eastern Region,central,Any,Any,Any,Any,Any,Any,Any,Government-employed,Any,Any,The scheme "AICTE - Grant for Augmenting Infrastructure in North Eastern Region (GAINER)" was introduced by AICTE to enhance the functional efficiency of the technical institutes located in far-flung areas of North East India/ by addressing deficiencies in water/ electricity/ and internet.,
C007,AICTE - Research Promotion Scheme (RPS),central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,The scheme "AICTE - Research Promotion Scheme (RPS)" was introduced by the All India Council for Technical Education (AICTE)/ Department of Higher Education (DoHE) in order to promote research in identified thrust areas of technical education. The maximum limit of funding is ₹ 25/00/000.,
C008,AICTE - Scheme For Promoting Interests/ Creativity And Ethics Among Students,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Any,AICTE-SPICES scheme provides financial support to institutions for developing students' clubs for the well-rounded development of students by promoting their interests/ creativity/ and ethics. This club should serve as a model for other clubs in the institution and also those in other institutions.,
C009,AICTE - YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK),central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Any,The scheme is intended for providing Financial Grant for conducting a Study Tour of ATAL TUNNEL by Students / faculty of AICTE approved Institutions in the field of technical education.,
C010,AICTE e-Shodh Sindhu Scheme (eSS),central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,AICTE e-Shodh Sindhu Scheme (eSS) provides subscriptions of e-Resources like Web of Science/ Scopus/ASME/ ASCE and Bentham Science to institutions.,
C011,AICTE – Mitacs Globalink Research Internship (GRI) Scheme,central,Any,18,Any,Any,Any,Any,Any,Student,Any,Graduate,AICTE/ on 23rd February 2018/ entered into a Memorandum of Understanding with Mathematics of Information Technology and Computer Systems (MITACS) Canada for AICTE – MITACS Globalink Research Internships (GRI) Program to foster cross-border partnerships.,
C012,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),central,Any,Any,Any,0,800000,Any,Any,Student,Yes,Graduate,Saksham is a Scholarship Scheme by the Ministry of Education/ implemented by AICTE/ aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young specially-abled student the opportunity to study further.,
C013,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),central,Any,Any,Any,0,800000,Any,Any,Student,Yes,Secondary,Saksham is a Scholarship Scheme by the Ministry of Education/ implemented by AICTE/ aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young specially-abled student the opportunity to study further.,
C014,AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,AICTE- Technical University Joint Training Programs for Teachers has been launched to train faculty members to prepare them for being successful in a knowledge society.,
C015,AICTE- Technical University Joint Training Programs for Librarians,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,AICTE- Technical University Joint Training Programs for Librarians/ aims to provide financial assistance in conducting training to librarians to prepare them for being successful and effective in a knowledge society.,
C016,AICTE-IDEA (Idea Development/ Evaluation & Application) LAB SCHEME,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Through Idea Lab Scheme/ AICTE will be setting up Idea Labs in AICTE approved institutions to encourage students for application of science/ technology engineering and mathematics (STEM) fundamentals towards enhanced hands-on experience/ learning by doing and even product visualization.,
C017,AICTE-INAE Distinguished Visiting Professorship Scheme,central,Any,Any,75,Any,Any,Any,Any,Retired,Any,Postgraduate,All India Council for Technical Education (AICTE) and Indian National Academy of Engineering (INAE) distinguished visiting Professor scheme envisages promotion of industry-institute interaction.,
C018,AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,central,Any,Any,Any,Any,Any,Any,Any,Student,Any,Graduate,A Travel Grant Scheme by the All India Council for Technical Education (AICTE) and by the Indian National Academy of Engineering (INAE)/ for the students from AICTE approved Engineering College/institutions. The scheme aims at enhancing the quality of engineering education in the country.,
C019,AICTE-ISTE INDUCTION/REFRESHER PROGRAMME SCHEME,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,AICTE-ISTE Induction/ Refresher Programme provide financial assistance to AICTE approved institutions/universities in conducting training for the teaching faculties working in technical institutions.,
C020,AICTE-LILAVATI AWARD,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,AICTE-LILAVATI AWARD intends to recognize efforts being made by AICTE-approved institutions to treat women with ‘equality and fairness’ in all spheres of their lives.,
C021,AICTE-Margdarshan scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Any,Margdarshan Initiative has been introduced by All India Council for Technical Education in 2018 for facilitating the technical institutes in order to improve the quality of technical education as a whole through accreditation by providing access to the facilities available in host institute.,
C022,AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,central,Any,Any,Any,Any,Any,Any,Any,Any,Any,Graduate,Ministry of Human Resource Development (MHRD) and All India Council for Technical Education (AICTE) jointly proposed an initiative called “National Initiative for Technical Teachers Training (NITTT)” to address the technical teachers of the country who plays an active role in the technical education.,
