scheme_id,scheme_name,scope,state,age_min,age_max,annual_income_min,annual_income_max,allowed_genders,allowed_castes,allowed_employments,disability_allowed,education_levels,notes
C1,Pradhan Mantri Kisan Samman Nidhi,central,Any,18,,0,,Any,Any,Farmer,Any,Any,Provides ₹6000/year to eligible small and marginal farmer families:contentReference[oaicite:0]{index=0}:contentReference[oaicite:1]{index=1}.
C2,Pradhan Mantri Awas Yojana (Gramin),central,Any,18,,0,,Any,Any,Any,Any,Any,Rural housing subsidy (up to ₹1.2L) for BPL households to build pucca houses:contentReference[oaicite:2]{index=2}.
C3,Pradhan Mantri Awas Yojana (Urban),central,Any,18,,0,,Any,Any,Any,Any,Any,Urban housing subsidy for EWS/LIG (income up to ₹3L/₹6L/ max ₹18L) for affordable homes:contentReference[oaicite:3]{index=3}.
C4,Ayushman Bharat – PM-JAY,central,Any,0,,0,,Any,Any,Any,Any,Any,Health insurance (₹5 lakh/family/yr) for poor families (SECC 2011 list) and all seniors 70+:contentReference[oaicite:4]{index=4}:contentReference[oaicite:5]{index=5}.
C5,Pradhan Mantri Suraksha Bima Yojana,central,Any,18,70.0,0,,Any,Any,Any,Any,Any,Accidental death/disability cover (₹2L death/ ₹1L partial) for SB account holders aged 18-70:contentReference[oaicite:6]{index=6}:contentReference[oaicite:7]{index=7}.
C6,Pradhan Mantri Jeevan Jyoti Bima Yojana,central,Any,18,50.0,0,,Any,Any,Any,Any,Any,Life insurance (₹2L) for SB account holders aged 18-50:contentReference[oaicite:8]{index=8}.
C7,Atal Pension Yojana,central,Any,18,40.0,0,,Any,Any,Any,Any,Any,Voluntary pension scheme for bank account holders aged 18-40 (pension ₹1K–5K) gov’t co-contribution (2015-20):contentReference[oaicite:9]{index=9}.
C8,Pradhan Mantri Jan Dhan Yojana,central,Any,18,,0,,Any,Any,Any,Any,Any,Universal basic savings account for all adults & with insurance and pension benefits:contentReference[oaicite:10]{index=10}:contentReference[oaicite:11]{index=11}.
C9,Pradhan Mantri Ujjwala Yojana,central,Any,18,,0,,Female,SC/ST/BPL,Any,Any,Any,Free LPG connection (with subsidy) for adult women of BPL households:contentReference[oaicite:12]{index=12}.
C10,Sukanya Samriddhi Yojana,central,Any,0,10.0,0,,Any,Female,Any,Any,Any,Small savings scheme for a girl child (account opened by guardian before age 10):contentReference[oaicite:13]{index=13}.
C11,Pradhan Mantri Matru Vandana Yojana,central,Any,18,,0,,Female,Any,Any,Any,Any,Maternity benefit ₹5000 (three installments) to pregnant/lactating women (first child):contentReference[oaicite:14]{index=14}.
C12,Indira Gandhi Old Age Pension Scheme,central,Any,65,,0,,Any,Any,Any,Any,Any,Old-age pension for BPL seniors (₹200/month for 65–79 yrs & ₹500/month for 80+ yrs):contentReference[oaicite:15]{index=15}.
C13,Pradhan Mantri Vaya Vandana Yojana,central,Any,60,,0,,Any,Any,Any,Any,Any,Pension plan for senior citizens (≥60 yrs) with guaranteed interest (8% p.a.):contentReference[oaicite:16]{index=16}.
AP1,YSR Cheyutha,state,Andhra Pradesh,45,60.0,0,120000.0,Female,SC/ST/BC/Minority,Any,Any,Any,Rs.75000 (over 4 yrs) to eligible women (45–60 yrs) in SC/ST/BC/Minority categories:contentReference[oaicite:17]{index=17}:contentReference[oaicite:18]{index=18}.
AP2,YSR Rythu Bharosa,state,Andhra Pradesh,18,,0,,Any,SC/ST/BC,Farmer,Any,Any,Annual financial aid (~₹13500) to farmers in Andhra Pradesh (landholders/ tenants):contentReference[oaicite:19]{index=19}.
AP3,Jagananna Amma Vodi,state,Andhra Pradesh,18,,0,120000.0,Female,Any,Any,Any,Any,Annual assistance ₹15000 to mothers/guardians (income ≤ ₹10000/month rural ₹12000/month urban) for children’s education:contentReference[oaicite:20]{index=20}:contentReference[oaicite:21]{index=21}.
AP4,YSR Pension Kanuka,state,Andhra Pradesh,40,,0,,Any,Any,Any,Any,Any,Monthly pension (₹2250–₹3000) for vulnerable groups (elderly/ widows/ disabled/ etc.) in Andhra Pradesh:contentReference[oaicite:22]{index=22}:contentReference[oaicite:23]{index=23}.
AP5,YSR Asara,state,Andhra Pradesh,45,60.0,0,,Female,Minorities,Any,Any,Any,Zero-interest SHG loan support (up to ₹75000 over 4 yrs) to poor women (45–60 yrs) in AP:contentReference[oaicite:24]{index=24}:contentReference[oaicite:25]{index=25}.
AP6,Jagananna Vasathi Deevena,state,Andhra Pradesh,18,,0,250000.0,Any,Any,Any,Any,Any,Hostel fee reimbursement to poor students (families with annual income ≤ ₹2.5L).
